Competition,Country,Club(s),Squad,Age,Foreign players,Total market value,ø Market value
Descentralizado Apertura,Peru,Sport Huancayo,31,"27,7",5,"5,68 Mill. €",183 Th. €
Descentralizado Apertura,Peru,Alianza Lima,28,"25,0",4,"5,63 Mill. €",201 Th. €
Descentralizado Apertura,Peru,CD Unión Comercio,26,"25,0",4,"5,25 Mill. €",202 Th. €
Descentralizado Apertura,Peru,Ayacucho FC,32,"26,7",4,"5,20 Mill. €",163 Th. €
Descentralizado Apertura,Peru,Club Juan Aurich,33,"24,9",6,"5,08 Mill. €",154 Th. €
Descentralizado Apertura,Peru,Sport Rosario,28,"26,4",5,"4,93 Mill. €",176 Th. €
Descentralizado Apertura,Peru,Club Alianza Atletico Sullana,25,"26,7",3,"4,45 Mill. €",178 Th. €
Descentralizado Apertura,Peru,Comerciantes Unidos,33,"25,6",5,"4,40 Mill. €",133 Th. €
Descentralizado Apertura,Peru,UTC Cajamarca,24,"24,2",4,"4,28 Mill. €",178 Th. €
Descentralizado Apertura,Peru,Academia Deportiva Cantolao,31,"25,4",4,"3,58 Mill. €",115 Th. €
Torneo Apertura,Venezuela,Deportivo Táchira,29,"26,6",3,"7,38 Mill. €",254 Th. €
Torneo Apertura,Venezuela,Caracas FC,29,"25,2",1,"6,85 Mill. €",236 Th. €
Torneo Apertura,Venezuela,Zamora FC,26,"26,4",4,"6,70 Mill. €",258 Th. €
Torneo Apertura,Venezuela,Deportivo La Guaira,24,"28,1",4,"6,38 Mill. €",266 Th. €
Torneo Apertura,Venezuela,Carabobo FC,28,"25,2",3,"5,83 Mill. €",208 Th. €
Torneo Apertura,Venezuela,Zulia FC,29,"25,1",4,"5,53 Mill. €",191 Th. €
Torneo Apertura,Venezuela,Mineros de Guayana,25,"26,0",3,"5,18 Mill. €",207 Th. €
Torneo Apertura,Venezuela,Deportivo Lara,25,"26,4",3,"5,03 Mill. €",201 Th. €
Torneo Apertura,Venezuela,Deportivo Anzoátegui SC,26,"24,9",3,"4,93 Mill. €",189 Th. €
Torneo Apertura,Venezuela,Monagas SC,23,"25,3",4,"4,55 Mill. €",198 Th. €
Torneo Apertura,Venezuela,Aragua FC,28,"25,1",3,"4,23 Mill. €",151 Th. €
Torneo Apertura,Venezuela,Trujillanos FC,28,"26,2",4,"4,08 Mill. €",146 Th. €
Torneo Apertura,Venezuela,Atlético Venezuela,26,"25,0",5,"4,03 Mill. €",155 Th. €
Torneo Apertura,Venezuela,Estudiantes de Mérida,29,"24,1",4,"3,25 Mill. €",112 Th. €
Torneo Apertura,Venezuela,Portuguesa FC,26,"24,8",2,"2,83 Mill. €",109 Th. €
Torneo Apertura,Venezuela,Deportivo JBL del Zulia,32,"22,9",3,"2,75 Mill. €",86 Th. €
Torneo Apertura,Venezuela,Metropolitanos FC,30,"27,8",4,"2,68 Mill. €",89 Th. €
Torneo Apertura,Venezuela,Atlético Socopó,32,"25,1",6,"2,55 Mill. €",80 Th. €
