fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"8 de diciembre de 2016, 18:00","El Teniente, Rancagua","O'Higgins","Santiago Wanderers","4:0 (1:0)","Barriga  10'

Márquez  62'

Insaurralde  67'

Lezcano  73'",""
"28 de noviembre de 2016, 17:00","Municipal, Santiago (La Cisterna)","Palestino","Unión Española","2:0 (0:0)","Benegas  50'

Rosende  90'",""
"1 de octubre de 2016, 12:00","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","San Luis","1:0 (1:0)","Delfino  26'",""
"10 de septiembre de 2016, 17:30","Germán Becker, Temuco","Deportes Temuco","San Luis","2:0 (1:0)","Campana  13'

López  82'",""
"30 de octubre de 2016, 15:30","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Huachipato","3:0 (1:0)","Sandoval  35'  (pen.)

Ciampichetti  52' ,  90+1'",""
"15 de octubre de 2016, 17:00","Huachipato-CAP Acero, Talcahuano","Huachipato","Deportes Iquique","1:2 (0:1)","Povea  76'","Cubillos  8'

Torres  68'"
"2 de octubre de 2016, 20:00","Municipal, Santiago (La Florida)","Audax Italiano","Everton","0:3 (0:2)","","Echeverría  3'

Rodríguez  8' ,  84'"
"9 de diciembre de 2016, 15:30","El Cobre, El Salvador","Cobresal","Universidad de Concepción","2:0 (0:0)","Maldonado  50'

Sarabia  67'  (pen.)",""
"6 de noviembre de 2016, 18:00","Lucio Fariña Fernández, Quillota","San Luis","Universidad de Concepción","2:0 (1:0)","Carlos Escobar  19' ,  59'",""
"19 de noviembre de 2016, 15:30","Sausalito, Viña del Mar","Everton","O'Higgins","2:2 (2:1)","Osorio  24'  (a.g.)

Ceratto  26'","Insaurralde  42'

Márquez  59'"
"28 de agosto de 2016, 20:00","Lucio Fariña Fernández, Quillota","San Luis","Huachipato","1:1 (1:1)","Silva  45'  (pen.)","Sepúlveda  29'  (pen.)"
"10 de diciembre de 2016, 19:30","Sausalito, Viña del Mar","Everton","Deportes Antofagasta","0:3 (0:2)","","González  7'

Rojas  16'

Ciampichetti  50'"
"19 de noviembre de 2016, 20:30","Ester Roa Rebolledo, Concepción","Universidad de Concepción","Huachipato","2:2 (2:2)","Manríquez  19'

Meneses  31'","Sepúlveda  6'

González  36'"
"27 de agosto de 2016, 20:00","Santa Laura, Santiago (Independencia)","Unión Española","O'Higgins","1:1 (0:0)","Pinares  55'","Insaurralde  61'"
"15 de octubre de 2016, 14:30","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Everton","0:1 (0:0)","","Echeverría  72'"
"30 de octubre de 2016, 12:00","Sausalito, Viña del Mar","Everton","Universidad de Chile","2:2 (2:1)","Vilches  27'  (a.g.)

Ceratto  45+1'","Fernández  22' ,  82'"
"27 de agosto de 2016, 15:00","Germán Becker, Temuco","Deportes Temuco","Cobresal","1:2 (0:1)","Canío  65'","Sarabia  21'  (pen.)

Cantero  82'"
