fecha_hora,estadio_locaclidad,local,visita,resultado,goles local,goles_visita
"11 de enero de 2015, 18:45","San Carlos, Santiago (Las Condes)","Universidad Católica","Unión Española","0:0 (0:0)","",""
"4 de abril de 2015, 15:30","Calvo y Bascuñán, Antofagasta","Deportes Antofagasta","Palestino","1:2 (0:0)","Farfán  78'","Morales  59'

Díaz  74'"
"30 de abril de 2015, 15:30","Santiago Bueras, Santiago (Maipú)","Barnechea","Palestino","2:1 (1:0)","Arancibia  11'

Ivanobski  61'","Torres  72'"
"31 de enero de 2015, 22:00","Carlos Dittborn, Arica","San Marcos de Arica","Barnechea","0:0 (0:0)","",""
"17 de enero de 2015, 16:00","Municipal de Yumbel, Yumbel","Universidad de Concepción","O'Higgins","2:1 (0:1)","Vargas  65'  (pen.)

Guastavino  81'  (pen.)","Lezcano  1'"
"21 de marzo de 2015, 15:30","CAP, Talcahuano","Huachipato","O'Higgins","3:2 (1:0)","Povea  45+1'

Muñoz  49'

Mancilla  85'","Valenzuela  60'

Calandria  83'"
"3 de abril de 2015, 18:00","Monumental, Santiago (Macul)","Colo-Colo","Cobresal","1:2 (1:1)","Vecchio  2'","Martorell  38'

Donoso  49'"
"7 de marzo de 2015, 17:00","Municipal, Santiago (La Cisterna)","Palestino","O'Higgins","3:3 (1:1)","Fuentes  39'  (a.g.)

Chaves  51'

Ramos  90+3'","Calandria  17'

Leal  63'

Vargas  88'"
"31 de enero de 2015, 18:30","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Deportes Antofagasta","1:3 (0:1)","Corujo  71'","Bolados  43'

González  77'

Cabrera  85'"
"5 de febrero de 2015, 20:00","Nelson Oyarzún Arenas, Chillán","Ñublense","Unión La Calera","1:2 (0:1)","Rodríguez  75'","Rosales  18'

Pineda  57'  (pen.)"
"19 de enero de 2015, 21:15","San Carlos, Santiago (Las Condes)","Barnechea","Audax Italiano","0:0 (0:0)","",""
"7 de febrero de 2015, 18:30","Monumental, Santiago (Macul)","Colo-Colo","Barnechea","4:1 (3:1)","Paredes  6'

Suazo  32'

Delgado  38'

Flores  80'","Santander  44'"
"3 de enero de 2015, 18:30","Nelson Oyarzún Arenas, Chillán","Ñublense","Huachipato","3:1 (1:1)","Varas  1' ,  62'

Croce  58'","Vilches  16'"
"3 de mayo de 2015, 12:00","Lucio Fariña Fernández, Quillota","Unión La Calera","Universidad de Chile","2:1 (2:0)","Pineda  11'

Charles  27'","Benegas  49'"
"3 de febrero de 2015, 22:00","San Carlos, Santiago (Las Condes)","Barnechea","Universidad de Concepción","1:2 (1:2)","Vásquez  30'  (pen.)","Roco  17'

Muñoz  22'"
"3 de mayo de 2015, 15:30","El Teniente, Rancagua","O'Higgins","Deportes Antofagasta","2:2 (1:1)","Pinto  11'

Leal  60'","Martínez  28'

Riquelme  57'"
"8 de marzo de 2015, 18:30","Monumental, Santiago (Macul)","Colo-Colo","Universidad de Concepción","3:0 (1:0)","Paredes  16'  (pen.)

Baeza  49'

Delgado  88'",""
"19 de abril de 2015, 20:30","Nicolás Chahuán Nazar, La Calera","Unión La Calera","Palestino","4:0 (2:0)","Pineda  39'

Tévez  45' ,  77'

Vidal  72'",""
"15 de febrero de 2015, 18:00","Nelson Oyarzún Arenas, Chillán","Ñublense","Audax Italiano","1:0 (1:0)","Salvatierra  75'",""
"5 de abril de 2015, 12:00","San Carlos, Santiago (Las Condes)","Universidad Católica","Universidad de Chile","2:4 (0:1)","Ríos  54' ,  83'","Canales  33' ,  58' ,  77'

Ubilla  63'"
"17 de abril de 2015, 20:00","El Teniente, Rancagua","O'Higgins","Cobresal","2:0 (1:0)","Lezcano  20' ,  70'",""
"21 de marzo de 2015, 21:00","Carlos Dittborn, Arica","San Marcos de Arica","Santiago Wanderers","3:3 (0:0)","Oyarzun  47'

González  62'  (pen.)

Ramos  73'","López  49'

Cellerino  71'

Barriga  90+1'"
"13 de febrero de 2015, 18:30","San Carlos, Santiago (Las Condes)","Barnechea","Deportes Iquique","1:0 (1:0)","Levipán  35'",""
"9 de febrero de 2015, 20:00","El Teniente, Rancagua","O'Higgins","Ñublense","1:0 (0:0)","Acevedo  86'",""
"1 de marzo de 2015, 20:00","Nicolás Chahuán Nazar, La Calera","Unión La Calera","Huachipato","0:1 (0:1)","","Vilches  12'"
"30 de enero de 2015, 21:00","Tierra de Campeones, Iquique","Deportes Iquique","Santiago Wanderers","2:1 (1:1)","Bogado  41' ,  74'","Medel  39'"
"26 de abril de 2015, 16:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Deportes Iquique","3:3 (3:0)","Llanos  5' ,  10'

Muñoz  33'","Dávila  47'

Contreras  61'

Pinares  66'"
"22 de febrero de 2015, 21:00","Tierra de Campeones, Iquique","Deportes Iquique","Unión La Calera","2:1 (0:0)","Pinares  51'

Bogado  82'","Rosales  73'  (pen.)"
"7 de febrero de 2015, 21:00","Municipal, Santiago (La Florida)","Audax Italiano","Santiago Wanderers","2:1 (0:1)","Olivi  46'

Pol  60'  (pen.)","Cellerino  45+1'"
"22 de marzo de 2015, 12:00","Santa Laura, Santiago (Independencia)","Palestino","Universidad de Chile","1:3 (0:2)","Cantillana  72'","Pereira  12'

Canales  45+5' ,  65'"
"4 de febrero de 2015, 20:30","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Universidad Católica","2:0 (1:0)","J. Luna  31'

Medel  62'",""
"9 de enero de 2015, 18:30","CAP, Talcahuano","Huachipato","Universidad de Concepción","1:2 (0:2)","Núñez  57'","Salinas  21'

Vargas  44'  (pen.)"
"31 de enero de 2015, 16:00","Nicolás Chahuán Nazar, La Calera","Unión La Calera","Unión Española","2:0 (0:0)","Vidal  67'

Costa  90+3'",""
"8 de febrero de 2015, 17:00","Tierra de Campeones, Iquique","Deportes Iquique","Deportes Antofagasta","1:2 (0:1)","Bogado  77'","Bolados  23'

Riquelme  72'"
"8 de marzo de 2015, 16:00","Carlos Dittborn, Arica","San Marcos de Arica","Universidad de Chile","0:1 (0:0)","","Rodríguez  47'"
"26 de abril de 2015, 12:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","Ñublense","2:1 (1:1)","Benegas  19' ,  57'","Varas  22'"
"8 de marzo de 2015, 17:00","El Cobre, El Salvador","Cobresal","Unión La Calera","1:1 (1:0)","Donoso  1'","Tevez  86'"
"5 de enero de 2015, 20:00","Santa Laura, Santiago (Independencia)","Unión Española","Audax Italiano","0:2 (0:1)","","Elizondo  22'

Carrasco  61'"
"7 de febrero de 2015, 15:30","CAP, Talcahuano","Huachipato","Universidad de Chile","2:2 (1:1)","Vilches  37'

Crovetto  54'","Benegas  45+1'

Canales  61'"
"19 de marzo de 2015, 20:00","Municipal, Santiago (La Florida)","Audax Italiano","Universidad Católica","1:1 (1:1)","Pol  27'","Gutiérrez  38'"
"10 de enero de 2015, 18:00","Nacional, Santiago (Ñuñoa)","Universidad de Chile","O'Higgins","3:0 (1:0)","Benegas  14'

Gutiérrez  64' ,  83'",""
"8 de febrero de 2015, 20:30","San Carlos, Santiago (Las Condes)","Universidad Católica","Palestino","3:2 (1:1)","Ramos  40'

Muñoz  46'

Botinelli  76'  (pen.)","Valencia  19'

Morales  82'"
"22 de febrero de 2015, 18:30","Monumental, Santiago (Macul)","Colo-Colo","Palestino","1:1 (0:0)","Valdés  75'","Ramos  78'"
"17 de enero de 2015, 18:30","Elías Figueroa Brander, Valparaíso","Santiago Wanderers","Universidad de Chile","3:2 (1:1)","Cellerino  8'

Tamburrini  55'

Fernández  76'","Espinoza  38'

Benegas  88'"
"11 de abril de 2015, 12:30","Municipal, Santiago (La Cisterna)","Palestino","Universidad de Concepción","3:2 (0:2)","L. Valencia  56'  (pen.)

Riquelme  60'

Guajardo  71'","Portillo  9'

P. Muñoz  31'  (pen.)"
