"Jugador","Posicion","from","Tipo","caso","to","equipo","id","ex_from","ex_to","B_from","B_to","O_from","O_to","from2","to2"
"Gastón Poncet","Delantero","Boston River","Libre","Altas","Palestino","Palestino",10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Palestino"
"Ignacio González","Arquero","Palestino","Fin de contrato","Bajas","San Luis","Palestino",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Palestino","San Luis"
"Benjamín Vidal","Defensa","Palestino","Traspaso","Bajas","Universidad Católica","Palestino",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Palestino","Universidad Católica"
"Diego Oyarzún","Defensa","Palestino","Fin de contrato","Bajas","FC Zalgiris","Palestino",10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Palestino","Extranjero"
"Francisco Sierralta","Defensa","Palestino","Fin de cesión","Bajas","NA","Palestino",10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Palestino","Otros"
"Ezequiel Luna","Defensa","Palestino","Traspaso","Bajas","Santiago Wanderers","Palestino",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Palestino","Santiago Wanderers"
"Esteban Carvajal","Mediocampista","Palestino","Traspaso","Bajas","Santiago Wanderers","Palestino",10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Palestino","Santiago Wanderers"
"Jason Silva","Mediocampista","Palestino","Fin de contrato","Bajas","Apollon Limassol","Palestino",10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Palestino","Extranjero"
"Jonathan Cisternas","Mediocampista","Palestino","Fin de contrato","Bajas","Libre","Palestino",10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Palestino","Otros"
"Leonardo Valencia","Mediocampista","Palestino","Fin de Contrato","Bajas","NA","Palestino",10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Palestino","Otros"
"Diego Rosende","Mediocampista","Palestino","Fin de contrato","Bajas","NA","Palestino",10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Palestino","Otros"
