teams,teams-href,Nº,Nombre y apellidos,Nac.,Fecha y lugar de nac.,Posición,html table
"Universidad de Concepción","http://www.sifup.cl/planteles/universidad-de-concepcion/","3","Waldo PONCE Carrizo","CHI","04.12.82, Los Andes","Central",""
"O’Higgins de Rancagua","http://www.sifup.cl/planteles/ohiggins/","-","Matías SEPÚLVEDA Méndez","CHI","12.03.99, Santiago","Volante ofe.",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","32","Branco PROVOSTE Ovalle","CHI","14.04.00, Santiago","Volante def.",""
"Deportes Iquique","http://www.sifup.cl/planteles/deportes-iquique/","10","Manuel VILLALOBOS Salvo","CHI","15.10.80, Iquique","Delantero",""
"Huachipato FC","http://www.sifup.cl/planteles/huachipato/","26","Ramón SÁEZ Navarro","CHI","24.06.96, Los Ángeles","Lateral izq.",""
"Huachipato FC","http://www.sifup.cl/planteles/huachipato/","15","Martín MOLINI Espiño","ARG","20.05.95, Neuquén","Delantero",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","21","Fernando MENESES Cornejo","CHI","27.09.85, Lontué","Delantero",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","17","Gabriel SUAZO Urbina","CHI","09.08.97, Santiago","Volante def.",""
"Audax Italiano","http://www.sifup.cl/planteles/audax-italiano/","10","Joe ABRIGO Navarro","CHI","22.03.95, Santiago","Volante ofe.",""
"Everton","http://www.sifup.cl/planteles/everton/","-","Douglas ESTAY Hermosilla","CHI","25.04.92, Viña del Mar","Lateral izq.",""
"Deportes Iquique","http://www.sifup.cl/planteles/deportes-iquique/","17","Alan MORENO Ávalos","CHI","30.10.95, Iquique","Lateral der.",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","13","Matías FERNÁNDEZ Cordero","CHI","14.08.95, Valparaíso","Lateral der.",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","-","Jorge LAGÜES Suárez","CHI","22.01.97, Vallenar","Volante def.",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","29","Raúl Octavio RIVERO Falero","URU","24.01.92, Treinta y Tres","Delantero",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","21","Gonzalo CANDIA San Martín","CHI","18.07.94, Lo Prado","Volante ofe.",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","15","Diego CHURÍN Puyo","ARG","01.12.89, Arroyo Dulce","Delantero",""
"Deportes Antofagasta","http://www.sifup.cl/planteles/deportes-antofagasta/","3","Claudio MUÑOZ Camilo","CHI","02.12.84, Santiago","Central",""
"Audax Italiano","http://www.sifup.cl/planteles/audax-italiano/","18","Diego VALLEJOS Hernández","CHI","16.03.90, Linares","Delantero",""
"San Luis de Quillota","http://www.sifup.cl/planteles/san-luis/","2","Braulio LEAL Salvo","CHI","22.11.81, Santiago","Volante mix.",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","29","Luis PAVEZ Muñoz","CHI","17.09.95, Santiago","Lateral izq.",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","29","Nicolás HIGUERAS Gangas","CHI","31.01.97, Independencia","Central/lat. der.",""
"Huachipato FC","http://www.sifup.cl/planteles/huachipato/","27","Ignacio TAPIA Bustamante","CHI","22.02.99, Concepción","Central",""
"Universidad de Chile","http://www.sifup.cl/planteles/universidad-de-chile/","8","David PIZARRO Cortez","CHI","11.09.79, Valparaíso","Volante mix.",""
"Deportes Temuco","http://www.sifup.cl/planteles/deportes-temuco/","20","Juan VIDAL Parra","CHI","07.02.96, Temuco","Central",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","24","Jorge ARAYA Pozo","CHI","25.03.96, Santiago","Volante def.",""
"Cobresal","http://www.sifup.cl/planteles/cobresal/","13","Miguel ESCALONA Armijo","CHI","23.03.90, San Joaquín","Central",""
"Deportes Iquique","http://www.sifup.cl/planteles/deportes-iquique/","9","César HUANCA Araya","CHI","04.06.01, Alto Hospicio","Delantero",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","26","Hardy CAVERO Vargas","CHI","31.05.96, Puerto Montt","Cen./lat. izq.",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","8","Carlos GÓMEZ Astudillo","CHI","14.02.92, San Miguel","Volante def.",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","33","Sebastián VALENCIA Cisternas","CHI","13.02.00, Santiago","Central",""
"O’Higgins de Rancagua","http://www.sifup.cl/planteles/ohiggins/","-","Hugo HERRERA Gaete","CHI","-","Volante ofe.",""
"Universidad Católica","http://www.sifup.cl/planteles/universidad-catolica/","","","","","","<tbody>
<tr style=""height: 24px;"">
<th style=""text-align: center; height: 24px;"">Nº</th>
<th style=""text-align: center; height: 24px;"">Nombre y apellidos</th>
<th style=""text-align: center; height: 24px;"">Nac.</th>
<th style=""text-align: center; height: 24px;"">Fecha y lugar de nac.</th>
<th style=""text-align: center; height: 24px;"">Posición</th>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">21</td>
<td style=""height: 24px;"">Franco COSTANZO</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">05.09.80, Río Cuarto</td>
<td style=""height: 24px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">12</td>
<td style=""height: 24px;"">Álvaro OGALDE Olivares&nbsp;<a href=""https://twitter.com/ogalde_13"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">13.05.97, La Serena</td>
<td style=""height: 24px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">1</td>
<td style=""height: 24px;"">Cristopher TOSELLI Ríos&nbsp;<a title=""Cuenta Twitter de Cristopher Toselli"" href=""https://twitter.com/Toselli23"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">15.06.88, Antofagasta</td>
<td style=""height: 24px;"">Arquero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">4</td>
<td style=""height: 24px;"">Cristián ÁLVAREZ Valenzuela (C)&nbsp;<a title=""Cuenta Twitter de Cristián Álvarez"" href=""https://twitter.com/Cris4Alvarez"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">20.01.80, Curicó</td>
<td style=""height: 24px;"">Central</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">13</td>
<td style=""height: 24px;"">Benjamín KUSCEVIC Jaramillo</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">02.05.96, Santiago</td>
<td style=""height: 24px;"">Central</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">2</td>
<td style=""height: 24px;"">Germán LANARO Contreras *</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">21.03.86, V. Regina/ARG</td>
<td style=""height: 24px;"">Central</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">3</td>
<td style=""height: 24px;"">Guillermo MARIPÁN Loayza&nbsp;<a title=""Cuenta Twitter de Guillermo Maripán"" href=""https://twitter.com/Gmaripan"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">06.05.94, Santiago</td>
<td style=""height: 24px;"">Central</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">27</td>
<td style=""height: 24px;"">Juan Carlos ESPINOZA Reyes</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">05.07.91, Puerto Montt</td>
<td style=""height: 24px;"">Lateral d/i,</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">29</td>
<td style=""height: 24px;"">Stefano MAGNASCO Galindo&nbsp;<a title=""Cuenta Twitter de Stefano Magnasco"" href=""https://twitter.com/stefanomagnasco"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">28.09.92, Santiago</td>
<td style=""height: 24px;"">Lateral&nbsp;der.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">11</td>
<td style=""height: 24px;"">Fernando CORDERO Fonseca</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">26.08.87, Santiago</td>
<td style=""height: 24px;"">Lateral&nbsp;izq.</td>
</tr>
<tr style=""height: 24.8125px;"">
<td style=""text-align: center; height: 24.8125px;"">24</td>
<td style=""height: 24.8125px;"">Alfonso PAROT Rojas</td>
<td style=""text-align: center; height: 24.8125px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24.8125px;"">15.10.89, Talca</td>
<td style=""height: 24.8125px;"">Lateral izq.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">15</td>
<td style=""height: 24px;"">Raimundo REBOLLEDO Valenzuela</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">14.05.97, Concepción</td>
<td style=""height: 24px;"">Lateral der.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">6</td>
<td style=""height: 24px;"">César FUENTES González&nbsp;<a href=""https://twitter.com/Cesarfg15"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">12.03.93, Rancagua</td>
<td style=""height: 24px;"">Volante def.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">23</td>
<td style=""height: 24px;"">Enzo Maximiliano KALINSKI&nbsp;<a href=""https://twitter.com/enzoka23"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">10.03.87, S. del Estero</td>
<td style=""height: 24px;"">Volante def.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">20</td>
<td style=""height: 24px;"">Carlos LOBOS Ubilla</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">21.02.97, Santiago</td>
<td style=""height: 24px;"">Volante def.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">5</td>
<td style=""height: 24px;"">Fabián MANZANO Pérez&nbsp;<a title=""Cuenta Twitter de Fabián Manzano"" href=""https://twitter.com/Fabi_Manzano"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">13.01.94, Los Andes</td>
<td style=""height: 24px;"">Volante def.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">8</td>
<td style=""height: 24px;"">Jaime CARREÑO Lee-Chong</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11"">&nbsp;CHI</td>
<td style=""height: 24px;"">03.03.97, Recoleta</td>
<td style=""height: 24px;"">Volante mix.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">18</td>
<td style=""height: 24px;"">Diego BUONANOTTE Rende</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">19.04.88, Teodelina</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">17</td>
<td style=""height: 24px;"">Carlos ESPINOSA Contreras&nbsp;<a href=""https://twitter.com/carlos221182"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">22.11.82, Santiago</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">10</td>
<td style=""height: 24px;"">Milovan MIROSEVIC Albornoz</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">20.06.80, Vitacura</td>
<td style=""height: 24px;"">Volante ofe.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">7</td>
<td style=""height: 24px;"">Christian BRAVO Araneda</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">01.10.93, Iquique</td>
<td style=""height: 24px;"">Volante der.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">19</td>
<td style=""height: 24px;"">José Pedro FUENZALIDA Gana</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">22.02.85, Santiago</td>
<td style=""height: 24px;"">Volante der.</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">22</td>
<td style=""height: 24px;"">Roberto GUTIÉRREZ Gamboa</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">18.04.83, Curacaví</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">14</td>
<td style=""height: 24px;"">David LLANOS Almonacid&nbsp;<a title=""Cuenta Twitter de David Llanos"" href=""https://twitter.com/llanos_14"" target=""_blank""><img src=""http://www.sifup.cl/wp-content/uploads/2014/12/twitter-16.png"" alt=""twitter 16""></a></td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/cl.gif"" alt=""cl"" width=""16"" height=""11""> CHI</td>
<td style=""height: 24px;"">27.07.89, Talcahuano</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">16</td>
<td style=""height: 24px;"">Ricardo NOIR Meyer</td>
<td style=""text-align: center; height: 24px;""><img class=""size-full wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/ar.gif"" alt=""ar"" width=""16"" height=""11"">&nbsp;ARG</td>
<td style=""height: 24px;"">26.02.87, Villa Elisa</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
<tr style=""height: 24px;"">
<td style=""text-align: center; height: 24px;"">9</td>
<td style=""height: 24px;"">Santiago SILVA Oliveira</td>
<td style=""text-align: center; height: 24px;""><img class="" wp-image-204"" src=""http://www.sifup.cl/wp-content/uploads/2014/12/uy.gif"" alt=""uy"" width=""13"" height=""9"">&nbsp;URU</td>
<td style=""height: 24px;"">09.12.80, Montevideo</td>
<td style=""height: 24px;"">Delantero</td>
</tr>
</tbody>"
"Universidad de Chile","http://www.sifup.cl/planteles/universidad-de-chile/","10","Gastón Nicolás FERNÁNDEZ","ARG","12.10.83, Avellaneda","Delantero",""
"San Luis de Quillota","http://www.sifup.cl/planteles/san-luis/","33","Dino LATORRE Ferrer","CHI","04.01.99, Villa Alemana","Delantero",""
"Cobresal","http://www.sifup.cl/planteles/cobresal/","27","Fabián ASTORGA Santander","CHI","07.02.97, Paine","Volante def.",""
"Universidad de Chile","http://www.sifup.cl/planteles/universidad-de-chile/","17","Mario BRICEÑO Portilla","CHI","20.06.96, La Serena","Delantero",""
"San Luis de Quillota","http://www.sifup.cl/planteles/san-luis/","31","Álvaro CÉSPED Lártiga","CHI","10.10.91, Quillota","Volante def.",""
"Universidad Católica","http://www.sifup.cl/planteles/universidad-catolica/","22","Roberto GUTIÉRREZ Gamboa","CHI","18.04.83, Curacaví","Delantero",""
"San Luis de Quillota","http://www.sifup.cl/planteles/san-luis/","22","David REYES Ferrada","CHI","17.01.85, San Antonio","Arquero",""
"Unión Española","http://www.sifup.cl/planteles/union-espanola/","28","Jason FLORES Abrigo","CHI","28.02.97, Recoleta","Delantero",""
"Santiago Wanderers","http://www.sifup.cl/planteles/santiago-wanderers/","12","Nery VELOSO Espinoza","CHI","02.03.87, Los Ángeles","Arquero",""
"Deportes Antofagasta","http://www.sifup.cl/planteles/deportes-antofagasta/","28","Germán ESTIGARRIBIA","ARG","06.03.97, Formosa","Delantero",""
"Deportes Iquique","http://www.sifup.cl/planteles/deportes-iquique/","25","Maximiliano MORI Calderón","CHI","11.11.97, Iquique","Arquero",""
"Colo Colo","http://www.sifup.cl/planteles/colo-colo/","19","Marcos BOLADOS Hidalgo","CHI","28.02.96, Antofagasta","Volante ofe.",""
"O’Higgins de Rancagua","http://www.sifup.cl/planteles/ohiggins/","1","Luis URETA Medina","CHI","08.03.99, Rengo","Arquero",""
"San Luis de Quillota","http://www.sifup.cl/planteles/san-luis/","20","Víctor MORALES Reyes","CHI","05.06.91, Valparaíso","Central/lat. izq.",""
"Cobresal","http://www.sifup.cl/planteles/cobresal/","7","Francisco SÁNCHEZ Silva","CHI","06.02.85, Viña del Mar","Lateral d/i.",""
